model,term,coef,std_err,p_value,n_obs,r_squared
X401_main,Intercept,3.7186535826771374,0.13934307603766122,6.656313656129442e-157,86625,0.01153034386297036
X401_main,C(YEAR)[T.2016],-0.17179087349198394,0.030139868664142675,1.1995623526074681e-08,86625,0.01153034386297036
X401_main,C(YEAR)[T.2022],-0.22836847634581,0.03624971770414093,2.9789711897268114e-10,86625,0.01153034386297036
X401_main,LOG_INCOME_ADJ,-0.05231647046182585,0.012835716378466176,4.58463231231982e-05,86625,0.01153034386297036
X401_main,AGE,0.0058188725044670455,0.0008727880101252475,2.610956045620238e-11,86625,0.01153034386297036
X401_main,EDUC,-0.008994409135534493,0.005324274028943582,0.09115788764195931,86625,0.01153034386297036
X401_main,LOG_NETWORTH,-0.005923013435967138,0.0020076992900420437,0.003176200041858422,86625,0.01153034386297036
X401_main,DEBT2INC,0.0011109071912150906,0.002325668475324455,0.6328835295171797,86625,0.01153034386297036
Debt_behavior,Intercept,-2.143853231175811,0.7120565425749533,0.002605683753544972,86625,0.16979511425772054
Debt_behavior,C(YEAR)[T.2016],0.0642589758332495,0.08946040310770279,0.4725753050818373,86625,0.16979511425772054
Debt_behavior,C(YEAR)[T.2022],0.21638241494300361,0.10648909790808418,0.04215691875096823,86625,0.16979511425772054
Debt_behavior,X401,-0.2003472017121024,0.026412524950702967,3.316918827784088e-14,86625,0.16979511425772054
Debt_behavior,LOG_INCOME_ADJ,1.0520356554084573,0.0685340874903551,3.512184584508235e-53,86625,0.16979511425772054
Debt_behavior,AGE,-0.05503794031428272,0.00271640437012552,2.8228789126274894e-91,86625,0.16979511425772054
Debt_behavior,EDUC,0.2751154204146103,0.01820076900515079,1.2781485804891126e-51,86625,0.16979511425772054
Debt_behavior,LOG_NETWORTH,-0.06328490649336056,0.004609214253141534,6.705419747095957e-43,86625,0.16979511425772054
